raw_organism,raw_drug,canonical_organism,canonical_drug
achromobacter insolitus,tigecycline,achromobacter insolitus,tigecycline
achromobacter xylosoxidans,tigecycline,achromobacter xylosoxidans,tigecycline
acidaminococcus fermentans,tigecycline,acidaminococcus fermentans,tigecycline
acinetobacter alcaligenes,tigecycline,acinetobacter species,tigecycline
acinetobacter anitratus,tigecycline,acinetobacter species,tigecycline
acinetobacter baumannii,collection number,acinetobacter baumannii,collection number
acinetobacter baumannii,levofloxacin,acinetobacter baumannii,levofloxacin
acinetobacter baumannii,omadacycline,acinetobacter baumannii,eravacycline
acinetobacter baumannii,study year,acinetobacter baumannii,study year
acinetobacter baumannii,tigecycline,acinetobacter baumannii,tigecycline
acinetobacter baumannii-calcoaceticus species complex,collection number,acinetobacter species: acinetobacter baumannii complex only,collection number
acinetobacter baumannii-calcoaceticus species complex,levofloxacin,acinetobacter species: acinetobacter baumannii complex only,levofloxacin
acinetobacter baumannii-calcoaceticus species complex,omadacycline,acinetobacter species: acinetobacter baumannii complex only,eravacycline
acinetobacter baumannii-calcoaceticus species complex,study year,acinetobacter species: acinetobacter baumannii complex only,study year
acinetobacter baumannii-calcoaceticus species complex,tigecycline,acinetobacter species: acinetobacter baumannii complex only,tigecycline
acinetobacter baylyi,tigecycline,acinetobacter species,tigecycline
acinetobacter beijerinckii,collection number,acinetobacter species,collection number
acinetobacter beijerinckii,levofloxacin,acinetobacter species,levofloxacin
acinetobacter beijerinckii,omadacycline,acinetobacter species,eravacycline
acinetobacter beijerinckii,study year,acinetobacter species,study year
acinetobacter beijerinckii,tigecycline,acinetobacter species,tigecycline
acinetobacter bereziniae,collection number,acinetobacter species,collection number
acinetobacter bereziniae,levofloxacin,acinetobacter species,levofloxacin
acinetobacter bereziniae,omadacycline,acinetobacter species,eravacycline
acinetobacter bereziniae,study year,acinetobacter species,study year
acinetobacter bereziniae,tigecycline,acinetobacter species,tigecycline
acinetobacter calcoaceticus,tigecycline,acinetobacter species,tigecycline
