organism,drug,year,p10,p25,median,p75,p90
A. baumannii,Polymyxin B MIC (mcg/ml),2022.0,0.06,0.125,0.25,0.5,0.5
Achromobacter insolitus,Tigecycline,2019.0,0.12,0.12,0.185,0.25,0.25
Achromobacter xylosoxidans,Tigecycline,2018.0,0.5,0.5,0.5,0.75,0.9
Achromobacter xylosoxidans,Tigecycline,2019.0,0.5,0.5,1.0,1.5,2.0
Achromobacter xylosoxidans,Tigecycline,2023.0,1.0,1.0,1.0,1.0,1.0
Acidaminococcus fermentans,Tigecycline,2019.0,0.03,0.03,0.03,0.03,0.03
Acinetobacter alcaligenes,Tigecycline,2009.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter anitratus,Tigecycline,2004.0,0.12,0.12,0.25,1.0,1.0
Acinetobacter anitratus,Tigecycline,2005.0,0.12,0.2175,0.25,0.625,1.0
Acinetobacter anitratus,Tigecycline,2007.0,0.6,0.75,1.0,1.5,1.8
Acinetobacter anitratus,Tigecycline,2008.0,2.0,2.0,2.0,2.0,2.0
Acinetobacter baumannii,Tigecycline,2004.0,0.06,0.12,0.5,1.0,1.0
Acinetobacter baumannii,Tigecycline,2005.0,0.06,0.12,0.5,1.0,1.0
Acinetobacter baumannii,Tigecycline,2006.0,0.12,0.12,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2007.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2008.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2009.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2010.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2011.0,0.06,0.12,0.25,0.5,1.0
Acinetobacter baumannii,Tigecycline,2012.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2013.0,0.12,0.25,1.0,1.0,2.0
Acinetobacter baumannii,Tigecycline,2014.0,0.12,0.25,1.0,1.0,2.0
Acinetobacter baumannii,Tigecycline,2015.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2016.0,0.12,0.25,0.5,1.0,1.0
Acinetobacter baumannii,Tigecycline,2017.0,0.11400000000000034,0.12,0.5,1.0,1.0
Acinetobacter baumannii,Tigecycline,2018.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2019.0,0.12,0.25,1.0,1.0,2.0
Acinetobacter baumannii,Tigecycline,2020.0,0.12,0.25,1.0,2.0,2.0
Acinetobacter baumannii,Tigecycline,2021.0,0.12,0.5,1.0,2.0,2.0
Acinetobacter baumannii,Tigecycline,2022.0,0.12,0.25,1.0,2.0,2.0
Acinetobacter baumannii,Tigecycline,2023.0,0.12,0.25,1.0,2.0,2.0
Acinetobacter baylyi,Tigecycline,2013.0,0.03,0.0975,0.12,0.25,0.32499999999999996
Acinetobacter baylyi,Tigecycline,2014.0,0.158,0.215,0.31,0.405,0.462
Acinetobacter baylyi,Tigecycline,2015.0,0.066,0.12,0.12,0.25,0.4750000000000001
Acinetobacter baylyi,Tigecycline,2016.0,0.06,0.06,0.06,0.12,0.12
Acinetobacter baylyi,Tigecycline,2017.0,0.06,0.06,0.06,0.12,0.12
Acinetobacter baylyi,Tigecycline,2018.0,0.056999999999999995,0.06,0.09,0.2175,0.25
Acinetobacter baylyi,Tigecycline,2019.0,0.06,0.06,0.06,0.12,0.12
Acinetobacter baylyi,Tigecycline,2020.0,0.11399999999999999,0.12,0.12,0.2175,1.299999999999999
Acinetobacter baylyi,Tigecycline,2021.0,0.072,0.09,0.12,0.31,0.42400000000000004
Acinetobacter beijerinckii,Tigecycline,2019.0,0.06,0.06,0.06,0.12,0.12
Acinetobacter beijerinckii,Tigecycline,2020.0,0.12,0.12,0.12,0.12,0.12
Acinetobacter beijerinckii,Tigecycline,2021.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter beijerinckii,Tigecycline,2022.0,0.12,0.12,0.12,0.12,0.25
Acinetobacter beijerinckii,Tigecycline,2023.0,0.12,0.12,0.12,0.12,0.15899999999999997
Acinetobacter bereziniae,Tigecycline,2018.0,0.12,0.12,0.25,0.4375,1.0
Acinetobacter bereziniae,Tigecycline,2019.0,0.06,0.12,0.12,0.12,0.5
Acinetobacter bereziniae,Tigecycline,2020.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter bereziniae,Tigecycline,2021.0,0.12,0.12,0.12,0.25,1.0
Acinetobacter bereziniae,Tigecycline,2022.0,0.12,0.12,0.12,0.25,0.5
Acinetobacter bereziniae,Tigecycline,2023.0,0.12,0.12,0.25,0.375,1.0
Acinetobacter calcoaceticus,Tigecycline,2004.0,0.12,0.12,0.25,0.625,2.0
Acinetobacter calcoaceticus,Tigecycline,2005.0,0.508,1.0899999999999999,2.06,3.0300000000000002,3.612
Acinetobacter calcoaceticus,Tigecycline,2006.0,0.5,0.5,0.5,2.25,3.3000000000000003
Acinetobacter calcoaceticus,Tigecycline,2007.0,0.08399999999999999,0.12,1.0,1.0,1.0
Acinetobacter calcoaceticus,Tigecycline,2008.0,1.25,2.375,4.25,6.125,7.25
Acinetobacter calcoaceticus,Tigecycline,2011.0,0.066,0.075,0.09,0.105,0.11399999999999999
Acinetobacter calcoaceticus,Tigecycline,2012.0,0.12,0.25,0.5,0.5,1.0
Acinetobacter calcoaceticus,Tigecycline,2013.0,0.06,0.06,0.12,0.12,0.25
Acinetobacter calcoaceticus,Tigecycline,2014.0,0.06,0.06,0.12,0.12,0.17200000000000004
Acinetobacter calcoaceticus,Tigecycline,2015.0,0.06,0.06,0.12,0.625,1.0
Acinetobacter calcoaceticus,Tigecycline,2016.0,0.06,0.06,0.09,0.12,0.12
Acinetobacter calcoaceticus,Tigecycline,2017.0,0.06,0.06,0.06,0.12,0.19799999999999995
Acinetobacter calcoaceticus,Tigecycline,2018.0,0.06,0.06,0.12,0.12,0.25
Acinetobacter calcoaceticus,Tigecycline,2019.0,0.06,0.12,0.12,0.12,0.25
Acinetobacter calcoaceticus,Tigecycline,2020.0,0.06,0.12,0.12,0.12,0.12
Acinetobacter calcoaceticus,Tigecycline,2021.0,0.12,0.12,0.12,0.12,0.19800000000000018
Acinetobacter calcoaceticus,Tigecycline,2022.0,0.12,0.12,0.12,0.25,0.25
Acinetobacter calcoaceticus,Tigecycline,2023.0,0.12,0.12,0.25,0.25,0.2999999999999998
Acinetobacter colistiniresistens,Tigecycline,2021.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter colistiniresistens,Tigecycline,2022.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter courvalinii,Tigecycline,2019.0,0.12,0.12,0.185,0.25,0.32499999999999996
Acinetobacter courvalinii,Tigecycline,2020.0,0.12,0.12,0.12,0.25,1.3000000000000003
Acinetobacter courvalinii,Tigecycline,2021.0,0.25,0.25,0.375,0.625,0.8500000000000001
Acinetobacter courvalinii,Tigecycline,2022.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter courvalinii,Tigecycline,2023.0,0.25,0.25,0.25,0.25,0.5
Acinetobacter dijkshoorniae,Tigecycline,2018.0,0.06,0.06,0.12,0.12,0.25
Acinetobacter dijkshoorniae,Tigecycline,2019.0,0.06,0.06,0.12,0.12,0.25
Acinetobacter dijkshoorniae,Tigecycline,2020.0,0.06,0.12,0.12,0.25,0.25
Acinetobacter dijkshoorniae,Tigecycline,2021.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter dispersus,Tigecycline,2019.0,0.12,0.12,0.12,0.12,0.12
Acinetobacter dispersus,Tigecycline,2020.0,0.098,0.155,0.25,0.25,0.25
Acinetobacter dispersus,Tigecycline,2021.0,0.158,0.215,0.31,0.405,0.462
Acinetobacter dispersus,Tigecycline,2022.0,0.12,0.12,0.185,0.3125,0.42500000000000004
Acinetobacter dispersus,Tigecycline,2023.0,0.146,0.185,0.25,0.25,0.25
Acinetobacter guillouiae,Tigecycline,2010.0,0.5,0.5,0.5,0.5,0.5
Acinetobacter guillouiae,Tigecycline,2011.0,0.06,0.06,0.06,0.09,0.108
Acinetobacter guillouiae,Tigecycline,2012.0,0.06,0.12,0.12,0.375,0.5
Acinetobacter guillouiae,Tigecycline,2013.0,0.06,0.12,0.12,0.25,0.25
Acinetobacter guillouiae,Tigecycline,2014.0,0.06,0.06,0.12,0.2175,0.5
Acinetobacter guillouiae,Tigecycline,2015.0,0.06,0.06,0.12,0.25,0.5
Acinetobacter guillouiae,Tigecycline,2016.0,0.051000000000000004,0.06,0.06,0.12,0.12
Acinetobacter guillouiae,Tigecycline,2017.0,0.06,0.06,0.12,0.12,0.12
Acinetobacter guillouiae,Tigecycline,2018.0,0.06,0.06,0.06,0.12,0.12
Acinetobacter guillouiae,Tigecycline,2019.0,0.057,0.06,0.12,0.25,0.5500000000000007
Acinetobacter guillouiae,Tigecycline,2020.0,0.06,0.12,0.12,0.12,0.2999999999999998
Acinetobacter guillouiae,Tigecycline,2021.0,0.06,0.09,0.12,0.25,0.25
Acinetobacter guillouiae,Tigecycline,2022.0,0.12,0.12,0.12,0.25,0.25
Acinetobacter guillouiae,Tigecycline,2023.0,0.12,0.12,0.12,0.25,0.25
Acinetobacter gyllenbergii,Tigecycline,2022.0,0.12,0.12,0.25,0.25,0.7000000000000001
